종목명,상장유형,공모가(원),상장일,상장주식수,매출총이익률,영업이익률,ROE(지배),매출액증가율(YoY),영업이익증가율(YoY),유동비율,당좌비율,부채비율,이자보상배율,매출채권회전율,재고자산회전율,매출액,세전계속사업이익,당기순이익(지배),자본총계(지배),EBITDA2,순부채,매출액증가율(YoY)-before,영업이익증가율(YoY)-before
KNN,신규상장,9000,2010-11-03,13242972,40.4,12.16,6.1,-5.15,-3.03,760.72,760.29,5.31,,4.6,987.07,45750323,8267473,6767626,113480194,9017440,-33518040,-2.16,-16.53
KH 일렉트론,신규상장,8800,2010-11-05,9500000,30.95,20.33,39.41,75.99,166.04,390.55,360.05,24.2,7945.07,8.8,37.9,83090179,14776624,12044455,37160463,17942541,-17738677,70.12,81.12
아나패스,신규상장,52000,2010-11-05,3366190,42.89,29.06,126.4,459.57,14944.27,444.55,367.52,31.88,187.01,17.12,16.35,55321191,16156221,17193459,22377371,16926019,-14195776,,
선데이토즈,신규상장,4000,2010-11-10,5232000,100,30.58,,,,25068.21,25068.21,0.33,,,,136100,41656,41656,91656,41625,-75533,,
디케이락,신규상장,7500,2010-11-12,6200000,37.77,22.12,39.49,12.93,61.22,227.61,115.1,104.75,8.51,5.1,3.51,30521240,5465835,4563736,13837666,7665411,6144896,34.61,48.59
코프라,신규상장,7000,2010-11-12,5800000,17.45,7.7,25.41,22.8,19.04,199.97,129.21,72.01,26.87,5.96,7.41,46989236,3477828,3020181,13398017,3875930,1909706,39.71,20.49
한국전자인증,신규상장,1600,2010-11-19,21400000,68.94,18.16,24.79,15.82,31.02,256.09,256.09,58.01,57185.92,8.12,,11966071,2770977,2359382,13732833,2912103,-14175654,40.48,140.32
시그네틱스,신규상장,2600,2010-11-26,77288319,10.92,8.29,16.96,5.61,2.12,106.79,80.87,117.31,3.28,12.96,17.74,199552606,12512671,11251824,82725104,35125201,59422498,12.52,16.24
썬텍,신규상장,6800,2010-11-26,4200000,28.38,18.49,57.68,55.12,472.77,158.96,92.04,71.12,17.72,6.47,5.76,26080746,4750223,3883882,8912582,5913013,2002079,1.74,4.91
티비씨,신규상장,7500,2010-11-29,10000000,37.61,12.85,6.8,-15.48,44.77,1155.92,1154.4,6.86,240.11,3.86,416.7,31686808,6674366,5235080,79624247,5293612,-53076540,-2.27,-36.53
에이루트,신규상장,5500,2010-12-01,5000000,31.9,18.57,26.02,9.04,-10.48,246.16,219.49,43.66,15.38,23.78,14.16,23364298,3393018,3193322,14174897,5234695,-6176905,10.2,0.54
디에이치피코리아,신규상장,4000,2010-12-03,7250000,45.58,3.17,1.42,-27.21,-68.58,238.43,221.19,156.59,1.33,4.36,26.26,9187775,80894,80894,6499827,1062305,6732744,,
