종목명,매출총이익률,영업이익률,ROE,유동비율,당좌비율,부채비율,이자보상배율,매출채권회전율,재고자산회전율,매출액증가율,영업이익증가율,IPO_PER,IPO_PBR,IPO_EV/EBITDA,시장수익률,광의통화 증감률,고객예탁금 증감률,3개월 시장 회전율,공모가 대비 1개월 수익률,공모가 대비 3개월 수익률,공모가 대비 6개월 수익률
넷게임즈,,,-0.353197392,0.912475988,0.912475988,1.93797773,-3.759361239,,,,0.920712734,-20.01171957,7.068087157,-27.09383349,0.117666413,0.083047344,0.512481595,160.255994,0.07,0.0,-0.005
패션플랫폼,0.461384069,0.098545699,0.318549455,1.519687232,0.585298669,1.439602637,22.25637369,7.728075457,3.00125357,0.341531252,1.159885448,6.285208092,2.002149615,4.566315701,0.141460761,0.088859162,0.377053822,160.751508,0.03,0.015,-0.005
한송네오텍,0.173516429,0.050668831,0.163218104,1.242861806,1.065611949,1.856347779,4.412237499,2.812135688,16.41545267,0.316306667,0.515273804,6.765637555,1.104274535,3.594782368,0.148657001,0.088859162,0.380344447,161.1855221,0.0525,0.005,-0.005
케이엠제약,0.36287054,0.192886032,0.292983709,1.386599769,0.911447615,1.621049765,5.870893637,10.39034613,5.814748919,0.135988578,0.585027363,7.838888202,2.296666542,4.815297158,0.126124854,0.088859162,0.394838736,161.3645173,0.045,-0.0025,-0.01
뉴지랩파마,0.137174654,0.056583329,0.144455879,1.830577613,1.287763104,0.740254946,23.95182838,6.489740684,10.33101317,-0.072850548,-0.464200097,19.1917906,2.772366989,10.58909786,0.253710393,0.088859162,0.38909561,162.573832,-0.18988764,-0.161797753,-0.240449438
엑시콘,0.339975555,0.144431411,0.152488853,2.073359124,1.271695758,0.695795774,6.092163438,4.028878189,3.678144751,0.514146699,0.728420893,14.72948543,2.246082333,8.774035632,0.228778431,0.088859162,0.450296841,165.2543549,-0.2,-0.25,-0.243
KH E&T,0.360403235,0.10457461,0.166332636,1.509579647,1.508061124,0.794470437,77.67863254,4.334049776,2241.880721,0.520899614,-0.049357032,6.337313182,1.054102009,3.260459024,0.228778431,0.088859162,0.450296841,165.2543549,0.005,0.0,-0.0275
엔케이맥스,0.652165648,-3.019033965,2.43783694,3.753652419,2.681587513,-4.193547202,-46.47874868,11.18339575,0.97744459,0.116891155,1.357625053,-29.31984609,-71.47700388,-35.83621003,0.205507611,0.088859162,0.451396573,165.03589,0.458823529,1.452941176,1.35
연우,0.15613452,0.071993017,0.100018866,1.064332755,0.834673664,0.872666648,6.636730275,5.642217641,15.26711929,0.071920409,0.243843486,33.57770129,3.358403601,13.67674687,0.228602112,0.087195435,0.31821684,161.1020102,0.311507937,0.535714286,0.732142857
더블유게임즈,1.0,0.41143485,0.679737542,6.077115319,6.077115319,0.226668288,inf,8.247153267,,0.561142884,1.217876791,39.48484209,26.83932952,37.80795963,0.266083813,0.087195435,0.234816944,160.6041047,-0.201538462,-0.431538462,-0.456923077
