종목명,상장유형,시장구분,공모가(원),상장일,수정주가,1달 후 수정고가,3달 후 수정주가,6달 후 수정주가,P/E(FY0),P/B(FY0),EV/EBITDA(FY0),P/S(FY0),P/C(FY0),Market to Earnings(FY0),Market to Book(FY0),수정거래량,일평균수정거래량,일평균거래대금,상장주식수,거래량회전율,시가총액,일중변동률,일중실질변동범위,개인 순매수수량(일간),개인 순매수대금(일간),기관&외국인총합계 순매수수량(일간),기관&외국인총합계 순매수대금(일간),총합계 순매수수량(일간),총합계 순매수대금(일간)
KPX생명과학,신규상장,KQ,"6,200",2009-12-22,"6,460","5,750","4,605","3,890",10.75,2.43,9.45,1.53,25.89,14.66,3.31,"1,565,577","1,565,577","10,677,647,650","15,000,000",0.104372,"96,900,000,000",16.22,"1,140",510,"3,427.80",-474,"-3,193",0,0
글로벌에스엠,신규상장,KQ,"3,200",2009-12-23,"2,548","2,597","2,465","2,231",2.86,1.84,7.13,0.33,2.1,11.57,2.15,"29,240,040","29,240,040","79,798,174,980","31,694,020",0.644141,"115,683,173,000",18.86,735,"2,729","10,720.34","-2,651","-10,390",0,0
코디,신규상장,KQ,"6,000",2010-01-05,"10,552","17,942","18,075","14,740",9.89,2.74,5.46,1.54,5.23,9.7,2.24,"4,670,813","4,670,813","58,555,797,800","4,868,354",1.279818,"38,508,680,140",28.14,"2,590","1,195","11,441.42","-1,168","-11,154.38",0,0
승화프리텍,신규상장,KQ,"6,700",2010-01-06,"593,886","459,706","437,475","295,355",11.84,2.09,6.74,0.87,8.18,15.76,2.09,"12,526","12,526","8,235,858,970","5,334,000",0.18645,"39,898,320,000",20.08,"1,670",256,"2,163.20",-211,"-1,767.32",0,0
폴라리스우노,신규상장,KQ,"6,500",2010-01-15,"6,720","5,730","4,795","4,540",11.35,2.85,10.65,3.31,9.82,15.17,3.8,"3,905,806","3,905,806","24,189,763,870","10,500,000",0.371982,"70,560,000,000",29.16,"1,710",329,"1,867.25",-315,"-1,787.57",0,0
아세아텍,신규상장,KQ,"4,100",2010-01-26,"2,644","2,636","2,796","2,302",6.54,1.12,5.82,0.45,8.8,8.74,1.5,"7,328,897","7,328,897","22,373,168,525","17,500,000",0.325675,"59,500,000,000",20.52,775,"1,396","5,561.85","-1,394","-5,555.04",0,0
우리넷,신규상장,KQ,"6,700",2010-01-27,"9,300","6,090","5,740","4,115",8.83,2.56,7.52,1.19,-86.13,9.5,2.75,"4,470,973","4,470,973","48,503,560,030","5,528,580",0.808702,"51,415,794,000",23.1,"2,350",868,"9,583.96",-377,"-4,039.31",0,0
스타플렉스,신규상장,KQ,"15,000",2010-01-27,"13,350","10,100","11,350","11,100",6.64,1.44,4.89,0.71,3.33,8.97,1.95,"1,892,289","1,892,289","28,310,196,650","5,400,000",0.350424,"72,090,000,000",21.4,"3,200",308,"4,826.45",-290,"-4,543.89",0,0
금강제강,신규상장,KQ,"15,000",2010-02-02,"13,125","12,333","14,833","9,917",8.4,1.94,7.16,0.8,31.08,10.22,2.36,"2,955,113","2,955,113","41,632,759,650","5,600,000",0.439749,"88,200,000,000",16.86,"2,900",501,"8,543.91",-398,"-6,757.68",0,0.0
모베이스,신규상장,KQ,"13,200",2010-02-04,"3,754","3,829","4,447","2,255",4.12,1.64,4.81,0.64,10.15,5.5,2.14,"16,640,152","16,640,152","67,230,446,050","6,000,000",0.698683,"89,400,000,000",24.58,"4,050",723,"11,778.32",-653,"-10,664.17",0,0
지스마트글로벌,신규상장,KQ,"17,500",2010-02-04,"26,381","19,124","14,019","9,767",10.2,3.05,12.51,0.77,25.13,11.7,3.49,"1,830,751","1,830,751","47,018,815,850","4,697,433",0.665473,"72,575,339,850",23.39,"3,550",454,"6,650.76",-369,"-5,470.49",0,0
차이나하오란,신규상장,KQ,"4,700",2010-02-05,"3,656","4,307","3,357","2,958",4.22,3.58,6.77,0.43,8.14,11.51,4.56,"12,071,054","12,071,054","41,990,846,485","40,000,000",0.220687,"200,000,000,000",15.05,700,"1,957","9,330.87","-1,881","-8,967.18",0,0
하이소닉,신규상장,KQ,"13,000",2010-02-09,"34,182","28,987","18,595","23,490",2.92,1.24,5.6,0.58,2.34,8.46,3.51,"975,717","975,717","34,878,040,350","4,762,169",0.560289,"59,527,112,500",18.05,"2,400",534,"7,303.05",-442,"-6,051.19",0,0
인포바인,신규상장,KQ,"33,000",2010-02-09,"30,600","34,000","17,800","16,350",11.63,5.27,9.35,6.21,10.32,13.71,6.21,"768,978","768,978","26,538,843,000","2,970,000",0.258915,"90,882,000,000",21.31,"7,300",211,"7,365.02",-180,"-6,338.27",0,0
이미지스,신규상장,KQ,"6,000",2010-02-26,"6,900","15,750","7,230","9,560",9.52,3.2,5.66,2.28,5.74,8.62,2.83,"3,002,424","3,002,424","19,766,882,700","4,913,521",0.611053,"33,903,294,900",14.95,960,806,"5,226.05",-781,"-5,064.97",0,0
삼기,신규상장,KQ,"6,000",2010-03-19,"3,910","3,235","3,410","3,335",,,,,,14.97,1.57,"5,831,814","5,831,814","22,245,009,610","3,859,000",0.755612,"30,177,380,000",17.98,"1,290",746,"5,675.48",-558,"-4,237.33",0,0
지트리비앤티,신규상장,KQ,"11,000",2010-03-26,"20,121","19,803","11,691","9,106",22.26,5.56,30.69,7.73,13.4,27.83,7.16,"1,491,142","1,491,142","29,472,580,850","4,182,000",0.28357,"105,804,600,000",13.95,"3,300",442,"10,701.76",-397,"-9,574.91",0,0
씨케이에이치,신규상장,KQ,"3,700",2010-03-31,"3,322","2,736","2,674","2,636",,0,5.86,,,8.36,5.08,"38,688,996","38,688,996","140,662,659,125","80,000,000",0.461044,"278,800,000,000",20.94,815,"8,896","35,284.37","-8,014","-31,840.59",0,0
케이씨에스,신규상장,KQ,"1,600",2010-04-14,"3,680","4,555","3,115","2,910",16.67,3.11,18.89,1.51,33.4,20.84,3.88,"1,303,109","1,303,109","4,751,853,760","12,000,000",0.108592,"44,160,000,000",13.95,480,983,"3,576.51",-871,"-3,165.05",0,0
애머릿지,신규상장,KQ,"7,500",2010-04-21,"21,250","11,817","10,000","7,433",13.44,5.82,16.85,1.39,5.38,18.71,7.9,"1,311,910","1,311,910","32,620,733,800","7,000,000",0.31236,"89,250,000,000",30,"4,500",531,"8,284.83",-471,"-7,288.23",0,0
이스트아시아홀딩스,신규상장,KQ,"5,000",2010-04-23,"1,979","1,570","2,067","2,571",1.41,1.75,3.1,0.23,1.28,4.54,2.43,"12,370,433","12,370,433","25,724,307,950","23,000,000",0.278223,"87,975,000,000",16.22,675,"1,975","7,868.87","-1,851","-7,370.75",0,0
모바일리더,신규상장,KQ,"15,000",2010-05-25,"18,900","17,300","12,300","11,500",14.72,3.81,13.84,5.09,20.27,16.44,4.26,"4,635,746","4,635,746","104,804,755,800","2,998,000",1.54628,"56,662,200,000",24.39,"5,250",251,"5,393.81",-221,"-4,788.20",0,0
서진오토모티브,신규상장,KQ,"5,000",2010-05-25,"4,450","4,930","4,975","5,200",,,,,,14.67,0.83,"1,437,127","1,437,127","6,481,926,630","8,250,000",0.174197,"36,712,500,000",13.14,580,661,"2,959.94",-655,"-2,929.23",0,0
인피니트헬스케어,신규상장,KQ,"5,200",2010-05-26,"5,050","5,160","3,490","4,540",22.76,3.45,13.75,2.41,11.12,26.1,3.95,"9,719,716","9,719,716","53,074,833,960","23,470,467",0.414125,"118,525,858,350",19.64,"1,100","1,444","8,252.51","-1,250","-7,147.53",0,0
투비소프트,신규상장,KQ,"8,000",2010-06-01,"6,879","3,342","2,307","2,295",18.88,4.27,10.45,2.66,21.84,17.58,3.98,"1,657,806","1,657,806","11,342,238,400","2,048,120",0.302602,"37,685,408,000",13.95,"2,400",217,"3,958.52",-178,"-3,260.93",0,0
LX세미콘,신규상장,KQ,"67,000",2010-06-08,"28,369","30,010","25,968","29,650",9.9,4.22,10.09,2.02,11.74,11.98,4.98,"5,757,574","5,757,574","162,101,065,800","6,505,720",0.354113,"461,255,548,000",13.28,"9,300",238,"16,192.22",-32,"-1,388.62",0,0
엑스큐어,신규상장,KQ,"5,000",2010-06-09,"8,080","8,190","5,580","3,895",14.97,4.56,8.98,1.37,8.24,14.81,4.79,"7,590,375","7,590,375","72,101,245,730","4,373,900",1.735379,"35,341,112,000",29.72,"2,820",796,"7,867.69",-760,"-7,516.47",0,0
오르비텍,신규상장,KQ,"8,500",2010-06-15,"8,184","7,545","6,005","4,832",13.71,3.57,10.43,1.38,8.81,17.65,4.59,"2,927,694","2,927,694","25,692,263,980","7,117,336",0.360054,"66,547,091,600",20.62,"2,150",893,"9,167.66",-723,"-7,424.32",0,0
유비벨록스,신규상장,KQ,"11,000",2010-06-18,"12,800","15,750","14,500","16,950",10.05,2.69,10.6,1.01,7.78,15.35,3.3,"4,375,759","4,375,759","57,412,319,000","5,410,776",0.808712,"69,257,932,800",13.03,"1,700",529,"6,815.73",-519,"-6,682.80",0,0
지유온,신규상장,KQ,"13,000",2010-06-18,"5,876","5,115","3,919","4,352",1.4,0.47,10.08,0.63,1.29,13.6,4.53,"7,300,166","7,300,166","41,372,530,550","3,150,000",0.979704,"43,785,000,000",14.67,"1,900",351,"4,491.53",-308,"-3,961.57",0,0
알톤스포츠,신규상장,KQ,"1,000",2010-07-02,"5,415","5,550","5,873","5,819",,,,,,9.37,1.14,"1,135,354","1,135,354","6,324,640,555","20,220,000",0.30256,"20,321,100,000",8.11,85,"1,363","1,400.55","-1,198","-1,230.22",0,0
에스디시스템,신규상장,KQ,"14,800",2010-07-16,"11,850","6,249","5,412","5,141",11.8,3.04,11.45,1.2,24.65,15.06,3.76,"2,853,072","2,853,072","32,144,527,700","3,800,000",0.442635,"76,380,000,000",14.97,"2,800",430,"8,059.71",-390,"-7,330.86",0,0
크루셜텍,신규상장,KQ,"23,500",2010-07-21,"56,954","45,626","65,870","94,399",37.64,25.53,25.42,4.65,-48.95,29.3,13.82,"1,350,365","1,350,365","82,914,552,350","8,289,547",0.341725,"225,061,201,050",21.97,"6,700",591,"17,568.47",-321,"-9,462.82",0,0
웨이포트,신규상장,KQ,"1,400",2010-07-23,"1,190","1,045","1,010","1,250",0.46,2.41,6.18,0.03,0.67,8.4,3.58,"22,777,540","22,777,540","30,352,989,915","55,880,000",0.407615,"66,497,200,000",19.7,260,"5,663","7,580.16","-4,672","-6,346.37",0,0
하이텍팜,신규상장,KQ,"11,500",2010-07-28,"13,800","15,500","19,950","16,400",7.01,3.08,7.46,1.28,6.73,10.38,4.39,"6,317,044","6,317,044","99,323,725,350","7,000,000",0.902435,"96,600,000,000",28.3,"4,550",940,"15,221.68",-804,"-12,994.87",0,0
인터로조,신규상장,KQ,"12,000",2010-07-28,"4,159","3,372","3,481","3,404",6.63,2.42,5.79,2.48,6.25,8.39,2.95,"4,608,752","4,608,752","19,886,373,650","4,814,000",0.43277,"44,288,800,000",16,"1,600",479,"4,657.14",-434,"-4,226.42",0,0
이글루시큐리티,신규상장,KQ,"14,000",2010-08-04,"8,958","6,642","7,500","6,033",16.62,4.27,15.09,2.82,12.56,20.78,5.34,"522,884","522,884","4,846,656,350","7,500,000",0.058098,"80,625,000,000",15.85,"1,850",149,"1,644.64",-137,"-1,505.39",0,0
엠에스오토텍,신규상장,KQ,"5,500",2010-08-06,"6,414","4,040","4,836","4,438",7.54,1.29,5.85,0.71,2.14,11.63,2,"8,348,927","8,348,927","62,039,140,640","8,200,000",0.698415,"76,670,000,000",30,"3,300","1,102","12,535.93",-927,"-10,540.29",0,0
코리아에프티,신규상장,KQ,"4,000",2010-08-27,"3,950","3,935","4,185","3,840",,,,,,6.44,1.21,"208,838","208,838","825,397,600","6,784,000",0.030784,"26,796,800,000",1.26,50,102,403.26,-77,-304.4,0,0
화신정공,신규상장,KQ,"2,000",2010-08-31,"2,145","2,325","2,560","2,020",,,,,,7.51,1.03,"3,365,109","3,365,109","7,132,094,710","12,500,000",0.269209,"26,812,500,000",3.77,80,685,"1,448.24",-633,"-1,338.87",0,0
